,timestamp
,count
date,
20170103,368
20170104,368
20170105,368
20170106,368
20170109,368
20170110,368
20170111,368
20170112,368
20170113,368
20170116,368
20170117,368
20170118,368
20170119,368
20170120,368
20170123,368
20170124,368
20170125,368
20170126,368
20170131,368
20170201,368
20170202,368
20170203,368
20170206,368
20170207,368
20170208,368
20170209,368
20170210,368
20170213,368
20170214,368
20170215,368
20170216,368
20170217,368
20170220,368
20170221,368
20170222,368
20170223,368
20170224,368
20170227,368
20170228,368
20170302,368
20170303,368
20170306,368
20170307,368
20170308,368
20170309,368
20170310,368
20170313,368
20170314,368
20170315,368
20170316,368
20170317,368
20170320,368
20170321,368
20170322,368
20170323,368
20170324,368
20170327,368
20170328,368
20170329,368
20170330,368
20170331,368
20170403,368
20170404,368
20170405,368
20170406,368
20170407,368
20170410,368
20170411,368
20170412,368
20170413,368
20170414,368
20170417,368
20170418,368
20170419,368
20170420,368
20170421,368
20170424,368
20170425,368
20170426,368
20170427,368
20170428,368
20170502,368
20170504,368
20170508,368
20170510,368
20170511,368
20170512,368
20170515,368
20170516,368
20170517,368
20170518,368
20170519,368
20170522,368
20170523,368
20170524,368
20170525,368
20170526,368
20170529,368
20170530,368
20170531,368
20170601,368
20170602,368
20170605,368
20170607,368
20170608,368
20170609,368
20170612,368
20170613,368
20170614,368
20170615,368
20170616,368
20170619,368
20170620,368
20170621,368
20170622,368
20170623,368
20170626,368
20170627,368
20170628,368
20170629,368
20170630,368
20170703,368
20170704,368
20170705,368
20170706,368
20170707,368
20170710,368
20170711,368
20170712,368
20170713,368
20170714,368
20170717,368
20170718,368
20170719,368
20170720,368
20170721,368
20170724,368
20170725,368
20170726,368
20170727,368
20170728,368
20170731,368
20170801,368
20170802,368
20170803,368
20170804,368
20170807,368
20170808,368
20170809,368
20170810,368
20170811,368
20170814,368
20170816,368
20170817,368
20170818,368
20170821,368
20170822,368
20170823,368
20170824,368
20170825,368
20170828,368
20170829,368
20170830,368
20170831,368
20170901,368
20170904,368
20170905,368
20170906,368
20170907,368
20170908,368
20170911,368
20170912,368
20170913,368
20170914,368
20170915,368
20170918,368
20170919,368
20170920,368
20170921,368
20170922,368
20170925,368
20170926,368
20170927,368
20170928,368
20170929,368
20171010,368
20171011,368
20171012,368
20171013,368
20171016,368
20171017,368
20171018,368
20171019,368
20171020,368
20171023,368
20171024,368
20171025,368
20171026,368
20171027,368
20171030,368
20171031,368
20171101,368
20171102,368
20171103,368
20171106,368
20171107,368
20171108,368
20171109,368
20171110,368
20171113,368
20171114,368
20171115,368
20171117,368
20171120,368
20171121,368
20171122,368
20171124,368
20171127,368
20171128,368
20171129,368
20171130,368
20171201,368
20171204,368
20171205,368
20171206,368
20171207,368
20171208,368
20171211,368
20171212,368
20171213,368
20171214,368
20171215,368
20171218,368
20171219,368
20171220,368
20171221,368
20171222,368
20171226,368
20171227,368
20171228,368
20180103,368
20180104,368
20180105,368
20180108,368
20180109,368
20180110,368
20180111,368
20180112,368
20180115,368
20180116,368
20180117,368
20180118,368
20180119,368
20180122,368
20180123,368
20180124,368
20180125,368
20180126,368
20180129,368
20180130,368
20180131,368
20180201,368
20180202,368
20180205,368
20180206,368
20180207,368
20180208,368
20180209,368
20180212,368
20180213,368
20180214,368
20180219,368
20180220,368
20180221,368
20180222,368
20180223,368
20180226,368
20180227,368
20180228,368
20180302,368
20180305,368
20180306,368
20180307,368
20180308,368
20180309,368
20180312,368
20180313,368
20180314,368
20180315,368
20180316,368
20180319,368
20180320,368
20180321,368
20180322,368
20180323,368
20180326,368
20180327,368
20180328,368
20180329,368
20180330,368
20180402,368
20180403,368
20180404,368
20180405,368
20180406,368
20180409,368
20180410,368
20180411,368
20180412,368
20180413,368
20180416,368
20180417,368
20180418,368
20180419,368
20180420,368
20180423,368
20180424,368
20180425,368
20180426,368
20180427,368
20180430,368
20180502,368
20180503,368
20180504,368
20180508,368
20180509,368
20180510,368
20180511,368
20180514,368
20180515,368
20180516,368
20180517,368
20180518,368
20180521,368
20180523,368
20180524,368
20180525,368
20180528,368
20180529,368
20180530,368
20180531,368
20180601,368
20180604,368
20180605,368
20180607,368
20180608,368
20180611,368
20180612,368
20180614,368
20180615,368
20180618,368
20180619,368
20180620,368
20180621,368
20180622,368
20180625,368
20180626,368
20180627,368
20180628,368
20180629,368
20180702,368
20180703,368
20180704,368
20180705,368
20180706,368
20180709,368
20180710,368
20180711,368
20180712,368
20180713,368
20180716,368
20180717,368
20180718,368
20180719,368
20180720,368
20180723,368
20180724,368
20180725,368
20180726,368
20180727,368
20180730,368
20180731,368
20180801,368
20180802,368
20180803,368
20180806,368
20180807,368
20180808,368
20180809,368
20180810,368
20180813,368
20180814,368
20180816,368
20180817,368
20180820,368
20180821,368
20180822,368
20180823,368
20180824,368
20180827,368
20180828,368
20180829,368
20180830,368
20180831,368
20180903,368
20180904,368
20180905,368
20180906,368
20180907,368
20180910,368
20180911,368
20180912,368
20180913,368
20180914,368
20180917,368
20180918,368
20180919,368
20180920,368
20180921,368
20180927,368
20180928,368
